term,course_id,title,catalog_url
FA26,CHEM:40A,Organic Chemistry for Life Sciences I,https://catalog.ucsd.edu/courses/CHEM.html#chem40a
FA26,CHEM:40B,Organic Chemistry for Life Sciences II,https://catalog.ucsd.edu/courses/CHEM.html#chem40b
FA26,CHEM:41A,Organic Chemistry I: Structure and Reactivity,https://catalog.ucsd.edu/courses/CHEM.html#chem41a
FA26,CHEM:41C,"Organic Chemistry III: Synthesis, Reactivity, and Macromolecules",https://catalog.ucsd.edu/courses/CHEM.html
FA26,CHEM:43A,Organic Chemistry Laboratory,https://catalog.ucsd.edu/courses/CHEM.html#chem43a
FA26,CHEM:87,First-year Student Seminar in Chemistry and Biochemistry,https://catalog.ucsd.edu/courses/CHEM.html#chem87
FA26,CHEM:96,Introduction to Teaching Science,https://catalog.ucsd.edu/courses/CHEM.html#chem96
FA26,CHEM:100A,Analytical Chemistry Laboratory,https://catalog.ucsd.edu/courses/CHEM.html#chem100a
FA26,CHEM:108,Protein Biochemistry Laboratory,https://catalog.ucsd.edu/courses/CHEM.html#chem108
FA26,CHEM:109,Recombinant DNA Laboratory,https://catalog.ucsd.edu/courses/CHEM.html#chem109
FA26,CHEM:114A,Biochemical Structure and Function,https://catalog.ucsd.edu/courses/CHEM.html#chem114a
FA26,CHEM:116,Chemical Biology,https://catalog.ucsd.edu/courses/CHEM.html#chem116
FA26,CHEM:117,Biomedical Research in Health Disparities,https://catalog.ucsd.edu/courses/CHEM.html#chem117
FA26,CHEM:126A,Physical Biochemistry I: Thermodynamics and Kinetics of Biomolecules,https://catalog.ucsd.edu/courses/CHEM.html#chem126a
FA26,CHEM:130,Chemical Physics: Quantum Mechanics,https://catalog.ucsd.edu/courses/CHEM.html#chem130
FA26,CHEM:143B,Organic Chemistry Laboratory,https://catalog.ucsd.edu/courses/CHEM.html#chem143b
FA26,CHEM:152,Synthetic Methods in Organic Chemistry,https://catalog.ucsd.edu/courses/CHEM.html#chem152
FA26,CHEM:163,Introduction to Mass Spectrometry,https://catalog.ucsd.edu/courses/CHEM.html#chem163
FA26,CHEM:171,Environmental Chemistry I,https://catalog.ucsd.edu/courses/CHEM.html#chem171
FA26,CHEM:209,Macromolecular Recognition,https://catalog.ucsd.edu/courses/CHEM.html#chem209
FA26,CHEM:213A,Structure of Biomolecules and Biomolecular Assemblies,https://catalog.ucsd.edu/courses/CHEM.html#chem213a
FA26,CHEM:216,Chemical Biology,https://catalog.ucsd.edu/courses/CHEM.html#chem216
FA26,CHEM:219A,Special Topics in Biochemistry,https://catalog.ucsd.edu/courses/CHEM.html#chem219a
FA26,CHEM:222,Structure and Analysis of Solids,https://catalog.ucsd.edu/courses/CHEM.html#chem222
FA26,CHEM:223,Organometallic Chemistry,https://catalog.ucsd.edu/courses/CHEM.html#chem223
FA26,CHEM:224,Spectroscopic Techniques,https://catalog.ucsd.edu/courses/CHEM.html#chem224
FA26,CHEM:227,Seminar in Inorganic Chemistry,https://catalog.ucsd.edu/courses/CHEM.html#chem227
FA26,CHEM:231,Chemical Kinetics and Molecular Reaction Dynamics,https://catalog.ucsd.edu/courses/CHEM.html#chem231
FA26,CHEM:232A,Statistical Mechanics I,https://catalog.ucsd.edu/courses/CHEM.html#chem232a
FA26,CHEM:234,Photochemistry and Photophysics,https://catalog.ucsd.edu/courses/CHEM.html#chem234
FA26,CHEM:242,Introduction to Glycosciences,https://catalog.ucsd.edu/courses/CHEM.html#chem242
FA26,CHEM:252,Synthetic Methods in Organic Chemistry,https://catalog.ucsd.edu/courses/CHEM.html#chem252
FA26,CHEM:263,Introduction to Mass Spectrometry,https://catalog.ucsd.edu/courses/CHEM.html#chem263
FA26,CHEM:280,Applied Bioinformatics,https://catalog.ucsd.edu/courses/CHEM.html#chem280
FA26,CHEM:291,Molecular Biophysics Student Seminar,https://catalog.ucsd.edu/courses/CHEM.html#chem291
FA26,CHEM:292,Chemistry-Biology Interfaces Seminar,https://catalog.ucsd.edu/courses/CHEM.html#chem292
